date_key,year,quarter,month,month_name,day_of_month,day_of_week,day_name,week_of_year,is_weekend
2015-07-28,2015,3,7,July,28,1,Tuesday,31,False
2015-07-29,2015,3,7,July,29,2,Wednesday,31,False
2015-07-30,2015,3,7,July,30,3,Thursday,31,False
2015-07-31,2015,3,7,July,31,4,Friday,31,False
2015-08-01,2015,3,8,August,1,5,Saturday,31,True
2015-08-02,2015,3,8,August,2,6,Sunday,31,True
2015-08-03,2015,3,8,August,3,0,Monday,32,False
2015-08-04,2015,3,8,August,4,1,Tuesday,32,False
2015-08-05,2015,3,8,August,5,2,Wednesday,32,False
2015-08-06,2015,3,8,August,6,3,Thursday,32,False
2015-08-07,2015,3,8,August,7,4,Friday,32,False
2015-08-08,2015,3,8,August,8,5,Saturday,32,True
2015-08-09,2015,3,8,August,9,6,Sunday,32,True
2015-08-10,2015,3,8,August,10,0,Monday,33,False
2015-08-11,2015,3,8,August,11,1,Tuesday,33,False
2015-08-12,2015,3,8,August,12,2,Wednesday,33,False
2015-08-13,2015,3,8,August,13,3,Thursday,33,False
2015-08-14,2015,3,8,August,14,4,Friday,33,False
2015-08-15,2015,3,8,August,15,5,Saturday,33,True
2015-08-16,2015,3,8,August,16,6,Sunday,33,True
2015-08-17,2015,3,8,August,17,0,Monday,34,False
2015-08-18,2015,3,8,August,18,1,Tuesday,34,False
2015-08-19,2015,3,8,August,19,2,Wednesday,34,False
2015-08-20,2015,3,8,August,20,3,Thursday,34,False
2015-08-21,2015,3,8,August,21,4,Friday,34,False
2015-08-22,2015,3,8,August,22,5,Saturday,34,True
2015-08-23,2015,3,8,August,23,6,Sunday,34,True
2015-08-24,2015,3,8,August,24,0,Monday,35,False
2015-08-25,2015,3,8,August,25,1,Tuesday,35,False
2015-08-26,2015,3,8,August,26,2,Wednesday,35,False
2015-08-27,2015,3,8,August,27,3,Thursday,35,False
2015-08-28,2015,3,8,August,28,4,Friday,35,False
2015-08-29,2015,3,8,August,29,5,Saturday,35,True
2015-08-30,2015,3,8,August,30,6,Sunday,35,True
2015-08-31,2015,3,8,August,31,0,Monday,36,False
2015-09-01,2015,3,9,September,1,1,Tuesday,36,False
2015-09-02,2015,3,9,September,2,2,Wednesday,36,False
2015-09-03,2015,3,9,September,3,3,Thursday,36,False
2015-09-04,2015,3,9,September,4,4,Friday,36,False
2015-09-05,2015,3,9,September,5,5,Saturday,36,True
2015-09-06,2015,3,9,September,6,6,Sunday,36,True
2015-09-07,2015,3,9,September,7,0,Monday,37,False
2015-09-08,2015,3,9,September,8,1,Tuesday,37,False
2015-09-09,2015,3,9,September,9,2,Wednesday,37,False
2015-09-10,2015,3,9,September,10,3,Thursday,37,False
2015-09-11,2015,3,9,September,11,4,Friday,37,False
2015-09-12,2015,3,9,September,12,5,Saturday,37,True
2015-09-13,2015,3,9,September,13,6,Sunday,37,True
2015-09-14,2015,3,9,September,14,0,Monday,38,False
2015-09-15,2015,3,9,September,15,1,Tuesday,38,False
2015-09-16,2015,3,9,September,16,2,Wednesday,38,False
2015-09-17,2015,3,9,September,17,3,Thursday,38,False
2015-09-18,2015,3,9,September,18,4,Friday,38,False
2015-09-19,2015,3,9,September,19,5,Saturday,38,True
2015-09-20,2015,3,9,September,20,6,Sunday,38,True
2015-09-21,2015,3,9,September,21,0,Monday,39,False
2015-09-22,2015,3,9,September,22,1,Tuesday,39,False
2015-09-23,2015,3,9,September,23,2,Wednesday,39,False
2015-09-24,2015,3,9,September,24,3,Thursday,39,False
2015-09-25,2015,3,9,September,25,4,Friday,39,False
2015-09-26,2015,3,9,September,26,5,Saturday,39,True
2015-09-27,2015,3,9,September,27,6,Sunday,39,True
2015-09-28,2015,3,9,September,28,0,Monday,40,False
2015-09-29,2015,3,9,September,29,1,Tuesday,40,False
2015-09-30,2015,3,9,September,30,2,Wednesday,40,False
2015-10-01,2015,4,10,October,1,3,Thursday,40,False
2015-10-02,2015,4,10,October,2,4,Friday,40,False
2015-10-03,2015,4,10,October,3,5,Saturday,40,True
2015-10-04,2015,4,10,October,4,6,Sunday,40,True
2015-10-05,2015,4,10,October,5,0,Monday,41,False
2015-10-06,2015,4,10,October,6,1,Tuesday,41,False
2015-10-07,2015,4,10,October,7,2,Wednesday,41,False
2015-10-08,2015,4,10,October,8,3,Thursday,41,False
2015-10-09,2015,4,10,October,9,4,Friday,41,False
2015-10-10,2015,4,10,October,10,5,Saturday,41,True
2015-10-11,2015,4,10,October,11,6,Sunday,41,True
2015-10-12,2015,4,10,October,12,0,Monday,42,False
2015-10-13,2015,4,10,October,13,1,Tuesday,42,False
2015-10-14,2015,4,10,October,14,2,Wednesday,42,False
2015-10-15,2015,4,10,October,15,3,Thursday,42,False
2015-10-16,2015,4,10,October,16,4,Friday,42,False
2015-10-17,2015,4,10,October,17,5,Saturday,42,True
2015-10-18,2015,4,10,October,18,6,Sunday,42,True
2015-10-19,2015,4,10,October,19,0,Monday,43,False
2015-10-20,2015,4,10,October,20,1,Tuesday,43,False
2015-10-21,2015,4,10,October,21,2,Wednesday,43,False
2015-10-22,2015,4,10,October,22,3,Thursday,43,False
2015-10-23,2015,4,10,October,23,4,Friday,43,False
2015-10-24,2015,4,10,October,24,5,Saturday,43,True
2015-10-25,2015,4,10,October,25,6,Sunday,43,True
2015-10-26,2015,4,10,October,26,0,Monday,44,False
2015-10-27,2015,4,10,October,27,1,Tuesday,44,False
2015-10-28,2015,4,10,October,28,2,Wednesday,44,False
2015-10-29,2015,4,10,October,29,3,Thursday,44,False
2015-10-30,2015,4,10,October,30,4,Friday,44,False
2015-10-31,2015,4,10,October,31,5,Saturday,44,True
2015-11-01,2015,4,11,November,1,6,Sunday,44,True
2015-11-02,2015,4,11,November,2,0,Monday,45,False
2015-11-03,2015,4,11,November,3,1,Tuesday,45,False
2015-11-04,2015,4,11,November,4,2,Wednesday,45,False
2015-11-05,2015,4,11,November,5,3,Thursday,45,False
2015-11-06,2015,4,11,November,6,4,Friday,45,False
2015-11-07,2015,4,11,November,7,5,Saturday,45,True
2015-11-08,2015,4,11,November,8,6,Sunday,45,True
2015-11-09,2015,4,11,November,9,0,Monday,46,False
2015-11-10,2015,4,11,November,10,1,Tuesday,46,False
2015-11-11,2015,4,11,November,11,2,Wednesday,46,False
2015-11-12,2015,4,11,November,12,3,Thursday,46,False
2015-11-13,2015,4,11,November,13,4,Friday,46,False
2015-11-14,2015,4,11,November,14,5,Saturday,46,True
2015-11-15,2015,4,11,November,15,6,Sunday,46,True
2015-11-16,2015,4,11,November,16,0,Monday,47,False
2015-11-17,2015,4,11,November,17,1,Tuesday,47,False
2015-11-18,2015,4,11,November,18,2,Wednesday,47,False
2015-11-19,2015,4,11,November,19,3,Thursday,47,False
2015-11-20,2015,4,11,November,20,4,Friday,47,False
2015-11-21,2015,4,11,November,21,5,Saturday,47,True
2015-11-22,2015,4,11,November,22,6,Sunday,47,True
2015-11-23,2015,4,11,November,23,0,Monday,48,False
2015-11-24,2015,4,11,November,24,1,Tuesday,48,False
2015-11-25,2015,4,11,November,25,2,Wednesday,48,False
2015-11-26,2015,4,11,November,26,3,Thursday,48,False
2015-11-27,2015,4,11,November,27,4,Friday,48,False
2015-11-28,2015,4,11,November,28,5,Saturday,48,True
2015-11-29,2015,4,11,November,29,6,Sunday,48,True
2015-11-30,2015,4,11,November,30,0,Monday,49,False
2015-12-01,2015,4,12,December,1,1,Tuesday,49,False
2015-12-02,2015,4,12,December,2,2,Wednesday,49,False
2015-12-03,2015,4,12,December,3,3,Thursday,49,False
2015-12-04,2015,4,12,December,4,4,Friday,49,False
2015-12-05,2015,4,12,December,5,5,Saturday,49,True
2015-12-06,2015,4,12,December,6,6,Sunday,49,True
2015-12-07,2015,4,12,December,7,0,Monday,50,False
2015-12-08,2015,4,12,December,8,1,Tuesday,50,False
2015-12-09,2015,4,12,December,9,2,Wednesday,50,False
2015-12-10,2015,4,12,December,10,3,Thursday,50,False
2015-12-11,2015,4,12,December,11,4,Friday,50,False
